3d3f 546 [ 0, 9, 9, 45, 0, 0, 0, 0, 39, 0, 55, 13, 1, 40, 1, 0 ] 13 3 61 63
120a 548 [ 0, 9, 9, 45, 0, 0, 0, 0, 39, 0, 55, 13, 1, 40, 1, 0 ] 2 0 18 10
8cd0 522 [ 0, 9, 9, 45, 0, 0, 0, 0, 39, 0, 55, 13, 1, 40, 1, 0 ] 12 13 140 208
8ce2 524 [ 0, 9, 9, 45, 0, 0, 0, 0, 39, 0, 55, 13, 40, 40, 1, 0 ] 12 14 140 226
4c00 526 [ 0, 9, 9, 45, 0, 0, 0, 0, 39, 0, 55, 13, 0, 40, 1, 0 ] 12 0 76 0
1220 528 [ 0, 9, 9, 45, 0, 0, 0, 0, 39, 0, 55, 13, 0, 40, 1, 0 ] 2 2 18 32
7d01 544 [ 0, 9, 9, 45, 0, 0, 0, 0, 39, 0, 55, 13, 0, 40, 1, 0 ] 13 0 125 1
3d3f 546 [ 0, 9, 9, 45, 0, 0, 0, 0, 39, 0, 55, 13, 0, 41, 1, 0 ] 13 3 61 63
120a 548 [ 0, 9, 9, 45, 0, 0, 0, 0, 39, 0, 55, 13, 0, 41, 1, 0 ] 2 0 18 10
8cd0 522 [ 0, 9, 9, 45, 0, 0, 0, 0, 39, 0, 55, 13, 0, 41, 1, 0 ] 12 13 140 208
8ce2 524 [ 0, 9, 9, 45, 0, 0, 0, 0, 39, 0, 55, 13, 41, 41, 1, 0 ] 12 14 140 226
4c00 526 [ 0, 9, 9, 45, 0, 0, 0, 0, 39, 0, 55, 13, 1, 41, 1, 0 ] 12 0 76 0
88d0 530 [ 0, 9, 9, 45, 0, 0, 0, 0, 39, 0, 55, 13, 1, 41, 1, 0 ] 8 13 136 208
223e 532 [ 0, 9, 9, 45, 0, 0, 0, 0, 41, 0, 55, 13, 1, 41, 1, 0 ] 2 3 34 62
a294 574 [ 0, 9, 9, 45, 0, 0, 0, 0, 41, 0, 55, 13, 1, 41, 1, 0 ] 2 9 162 148
f833 576 [ 0, 9, 9, 45, 0, 0, 0, 0, 41, 0, 55, 13, 1, 41, 1, 0 ] 8 3 248 51
f265 578 [ 0, 9, 9, 45, 0, 0, 0, 0, 41, 0, 55, 13, 1, 41, 1, 0 ] 2 6 242 101
2254 580 [ 0, 4, 1, 45, 0, 0, 0, 0, 41, 0, 55, 13, 1, 41, 1, 0 ] 2 5 34 84
8310 596 [ 0, 4, 1, 45, 0, 0, 0, 0, 41, 0, 55, 13, 1, 41, 1, 0 ] 3 1 131 16
8334 598 [ 0, 4, 1, 4, 0, 0, 0, 0, 41, 0, 55, 13, 1, 41, 1, 0 ] 3 3 131 52
8334 600 [ 0, 4, 1, 8, 0, 0, 0, 0, 41, 0, 55, 13, 1, 41, 1, 0 ] 3 3 131 52
8314 602 [ 0, 4, 1, 16, 0, 0, 0, 0, 41, 0, 55, 13, 1, 41, 1, 0 ] 3 1 131 20
a262 604 [ 0, 4, 1, 20, 0, 0, 0, 0, 41, 0, 55, 13, 1, 41, 1, 0 ] 2 6 162 98
f31e 606 [ 0, 4, 1, 20, 0, 0, 0, 0, 41, 0, 55, 13, 1, 41, 1, 0 ] 3 1 243 30
ee 608 [ 0, 4, 1, 20, 0, 0, 0, 0, 41, 0, 55, 13, 1, 41, 1, 0 ] 0 14 0 238
dab5 582 [ 0, 4, 1, 20, 0, 0, 0, 0, 41, 0, 55, 13, 1, 41, 1, 0 ] 10 11 218 181
7a04 584 [ 0, 4, 1, 20, 0, 0, 0, 0, 41, 0, 55, 13, 1, 41, 1, 0 ] 10 0 122 4
8120 586 [ 0, 4, 1, 20, 0, 0, 0, 0, 41, 0, 59, 13, 1, 41, 1, 0 ] 1 2 129 32
2254 588 [ 0, 1, 1, 20, 0, 0, 0, 0, 41, 0, 59, 13, 1, 41, 1, 0 ] 2 5 34 84
8310 596 [ 0, 1, 1, 20, 0, 0, 0, 0, 41, 0, 59, 13, 1, 41, 1, 0 ] 3 1 131 16
8334 598 [ 0, 1, 1, 1, 0, 0, 0, 0, 41, 0, 59, 13, 1, 41, 1, 0 ] 3 3 131 52
8334 600 [ 0, 1, 1, 2, 0, 0, 0, 0, 41, 0, 59, 13, 1, 41, 1, 0 ] 3 3 131 52
8314 602 [ 0, 1, 1, 4, 0, 0, 0, 0, 41, 0, 59, 13, 1, 41, 1, 0 ] 3 1 131 20
a262 604 [ 0, 1, 1, 5, 0, 0, 0, 0, 41, 0, 59, 13, 1, 41, 1, 0 ] 2 6 162 98
f31e 606 [ 0, 1, 1, 5, 0, 0, 0, 0, 41, 0, 59, 13, 1, 41, 1, 0 ] 3 1 243 30
ee 608 [ 0, 1, 1, 5, 0, 0, 0, 0, 41, 0, 59, 13, 1, 41, 1, 0 ] 0 14 0 238
dab5 590 [ 0, 1, 1, 5, 0, 0, 0, 0, 41, 0, 59, 13, 1, 41, 1, 0 ] 10 11 218 181
7a05 592 [ 0, 1, 1, 5, 0, 0, 0, 0, 41, 0, 59, 13, 1, 41, 1, 0 ] 10 0 122 5
ee 594 [ 0, 1, 1, 5, 0, 0, 0, 0, 41, 0, 64, 13, 1, 41, 1, 0 ] 0 14 0 238
3a40 534 [ 0, 1, 1, 5, 0, 0, 0, 0, 41, 0, 64, 13, 1, 41, 1, 0 ] 10 4 58 64
6a01 538 [ 0, 1, 1, 5, 0, 0, 0, 0, 41, 0, 64, 13, 1, 41, 1, 0 ] 10 0 106 1
7b06 540 [ 0, 1, 1, 5, 0, 0, 0, 0, 41, 0, 1, 13, 1, 41, 1, 0 ] 11 0 123 6
3c3f 542 [ 0, 1, 1, 5, 0, 0, 0, 0, 41, 0, 1, 19, 1, 41, 1, 0 ] 12 3 60 63
7d01 544 [ 0, 1, 1, 5, 0, 0, 0, 0, 41, 0, 1, 19, 1, 41, 1, 0 ] 13 0 125 1
3d3f 546 [ 0, 1, 1, 5, 0, 0, 0, 0, 41, 0, 1, 19, 1, 42, 1, 0 ] 13 3 61 63
120a 548 [ 0, 1, 1, 5, 0, 0, 0, 0, 41, 0, 1, 19, 1, 42, 1, 0 ] 2 0 18 10
8cd0 522 [ 0, 1, 1, 5, 0, 0, 0, 0, 41, 0, 1, 19, 1, 42, 1, 0 ] 12 13 140 208
8ce2 524 [ 0, 1, 1, 5, 0, 0, 0, 0, 41, 0, 1, 19, 42, 42, 1, 0 ] 12 14 140 226
4c00 526 [ 0, 1, 1, 5, 0, 0, 0, 0, 41, 0, 1, 19, 0, 42, 1, 0 ] 12 0 76 0
1220 528 [ 0, 1, 1, 5, 0, 0, 0, 0, 41, 0, 1, 19, 0, 42, 1, 0 ] 2 2 18 32
7d01 544 [ 0, 1, 1, 5, 0, 0, 0, 0, 41, 0, 1, 19, 0, 42, 1, 0 ] 13 0 125 1
3d3f 546 [ 0, 1, 1, 5, 0, 0, 0, 0, 41, 0, 1, 19, 0, 43, 1, 0 ] 13 3 61 63
120a 548 [ 0, 1, 1, 5, 0, 0, 0, 0, 41, 0, 1, 19, 0, 43, 1, 0 ] 2 0 18 10
8cd0 522 [ 0, 1, 1, 5, 0, 0, 0, 0, 41, 0, 1, 19, 0, 43, 1, 0 ] 12 13 140 208
8ce2 524 [ 0, 1, 1, 5, 0, 0, 0, 0, 41, 0, 1, 19, 43, 43, 1, 0 ] 12 14 140 226
4c00 526 [ 0, 1, 1, 5, 0, 0, 0, 0, 41, 0, 1, 19, 1, 43, 1, 0 ] 12 0 76 0
88d0 530 [ 0, 1, 1, 5, 0, 0, 0, 0, 41, 0, 1, 19, 1, 43, 1, 0 ] 8 13 136 208
223e 532 [ 0, 1, 1, 5, 0, 0, 0, 0, 43, 0, 1, 19, 1, 43, 1, 0 ] 2 3 34 62
a294 574 [ 0, 1, 1, 5, 0, 0, 0, 0, 43, 0, 1, 19, 1, 43, 1, 0 ] 2 9 162 148
f833 576 [ 0, 1, 1, 5, 0, 0, 0, 0, 43, 0, 1, 19, 1, 43, 1, 0 ] 8 3 248 51
f265 578 [ 0, 1, 1, 5, 0, 0, 0, 0, 43, 0, 1, 19, 1, 43, 1, 0 ] 2 6 242 101
2254 580 [ 0, 4, 3, 5, 0, 0, 0, 0, 43, 0, 1, 19, 1, 43, 1, 0 ] 2 5 34 84
8310 596 [ 0, 4, 3, 5, 0, 0, 0, 0, 43, 0, 1, 19, 1, 43, 1, 0 ] 3 1 131 16
8334 598 [ 0, 4, 3, 4, 0, 0, 0, 0, 43, 0, 1, 19, 1, 43, 1, 0 ] 3 3 131 52
8334 600 [ 0, 4, 3, 8, 0, 0, 0, 0, 43, 0, 1, 19, 1, 43, 1, 0 ] 3 3 131 52
8314 602 [ 0, 4, 3, 16, 0, 0, 0, 0, 43, 0, 1, 19, 1, 43, 1, 0 ] 3 1 131 20
a262 604 [ 0, 4, 3, 20, 0, 0, 0, 0, 43, 0, 1, 19, 1, 43, 1, 0 ] 2 6 162 98
f31e 606 [ 0, 4, 3, 20, 0, 0, 0, 0, 43, 0, 1, 19, 1, 43, 1, 0 ] 3 1 243 30
ee 608 [ 0, 4, 3, 20, 0, 0, 0, 0, 43, 0, 1, 19, 1, 43, 1, 0 ] 0 14 0 238
dab5 582 [ 0, 4, 3, 20, 0, 0, 0, 0, 43, 0, 1, 19, 1, 43, 1, 0 ] 10 11 218 181
7a04 584 [ 0, 4, 3, 20, 0, 0, 0, 0, 43, 0, 1, 19, 1, 43, 1, 0 ] 10 0 122 4
8120 586 [ 0, 4, 3, 20, 0, 0, 0, 0, 43, 0, 5, 19, 1, 43, 1, 0 ] 1 2 129 32
2254 588 [ 0, 3, 3, 20, 0, 0, 0, 0, 43, 0, 5, 19, 1, 43, 1, 0 ] 2 5 34 84
8310 596 [ 0, 3, 3, 20, 0, 0, 0, 0, 43, 0, 5, 19, 1, 43, 1, 0 ] 3 1 131 16
8334 598 [ 0, 3, 3, 3, 0, 0, 0, 0, 43, 0, 5, 19, 1, 43, 1, 0 ] 3 3 131 52
8334 600 [ 0, 3, 3, 6, 0, 0, 0, 0, 43, 0, 5, 19, 1, 43, 1, 0 ] 3 3 131 52
8314 602 [ 0, 3, 3, 12, 0, 0, 0, 0, 43, 0, 5, 19, 1, 43, 1, 0 ] 3 1 131 20
a262 604 [ 0, 3, 3, 15, 0, 0, 0, 0, 43, 0, 5, 19, 1, 43, 1, 0 ] 2 6 162 98
f31e 606 [ 0, 3, 3, 15, 0, 0, 0, 0, 43, 0, 5, 19, 1, 43, 1, 0 ] 3 1 243 30
ee 608 [ 0, 3, 3, 15, 0, 0, 0, 0, 43, 0, 5, 19, 1, 43, 1, 0 ] 0 14 0 238
dab5 590 [ 0, 3, 3, 15, 0, 0, 0, 0, 43, 0, 5, 19, 1, 43, 1, 0 ] 10 11 218 181
7a05 592 [ 0, 3, 3, 15, 0, 0, 0, 0, 43, 0, 5, 19, 1, 43, 1, 0 ] 10 0 122 5
ee 594 [ 0, 3, 3, 15, 0, 0, 0, 0, 43, 0, 10, 19, 1, 43, 1, 0 ] 0 14 0 238
3a40 534 [ 0, 3, 3, 15, 0, 0, 0, 0, 43, 0, 10, 19, 1, 43, 1, 0 ] 10 4 58 64
1220 536 [ 0, 3, 3, 15, 0, 0, 0, 0, 43, 0, 10, 19, 1, 43, 1, 0 ] 2 2 18 32
7d01 544 [ 0, 3, 3, 15, 0, 0, 0, 0, 43, 0, 10, 19, 1, 43, 1, 0 ] 13 0 125 1
3d3f 546 [ 0, 3, 3, 15, 0, 0, 0, 0, 43, 0, 10, 19, 1, 44, 1, 0 ] 13 3 61 63
120a 548 [ 0, 3, 3, 15, 0, 0, 0, 0, 43, 0, 10, 19, 1, 44, 1, 0 ] 2 0 18 10
8cd0 522 [ 0, 3, 3, 15, 0, 0, 0, 0, 43, 0, 10, 19, 1, 44, 1, 0 ] 12 13 140 208
8ce2 524 [ 0, 3, 3, 15, 0, 0, 0, 0, 43, 0, 10, 19, 44, 44, 1, 0 ] 12 14 140 226
4c00 526 [ 0, 3, 3, 15, 0, 0, 0, 0, 43, 0, 10, 19, 0, 44, 1, 0 ] 12 0 76 0
1220 528 [ 0, 3, 3, 15, 0, 0, 0, 0, 43, 0, 10, 19, 0, 44, 1, 0 ] 2 2 18 32
7d01 544 [ 0, 3, 3, 15, 0, 0, 0, 0, 43, 0, 10, 19, 0, 44, 1, 0 ] 13 0 125 1
3d3f 546 [ 0, 3, 3, 15, 0, 0, 0, 0, 43, 0, 10, 19, 0, 45, 1, 0 ] 13 3 61 63
120a 548 [ 0, 3, 3, 15, 0, 0, 0, 0, 43, 0, 10, 19, 0, 45, 1, 0 ] 2 0 18 10
8cd0 522 [ 0, 3, 3, 15, 0, 0, 0, 0, 43, 0, 10, 19, 0, 45, 1, 0 ] 12 13 140 208
8ce2 524 [ 0, 3, 3, 15, 0, 0, 0, 0, 43, 0, 10, 19, 45, 45, 1, 0 ] 12 14 140 226
4c00 526 [ 0, 3, 3, 15, 0, 0, 0, 0, 43, 0, 10, 19, 1, 45, 1, 0 ] 12 0 76 0
88d0 530 [ 0, 3, 3, 15, 0, 0, 0, 0, 43, 0, 10, 19, 1, 45, 1, 0 ] 8 13 136 208
223e 532 [ 0, 3, 3, 15, 0, 0, 0, 0, 45, 0, 10, 19, 1, 45, 1, 0 ] 2 3 34 62
a294 574 [ 0, 3, 3, 15, 0, 0, 0, 0, 45, 0, 10, 19, 1, 45, 1, 0 ] 2 9 162 148
f833 576 [ 0, 3, 3, 15, 0, 0, 0, 0, 45, 0, 10, 19, 1, 45, 1, 0 ] 8 3 248 51
f265 578 [ 0, 3, 3, 15, 0, 0, 0, 0, 45, 0, 10, 19, 1, 45, 1, 0 ] 2 6 242 101
2254 580 [ 0, 4, 5, 15, 0, 0, 0, 0, 45, 0, 10, 19, 1, 45, 1, 0 ] 2 5 34 84
8310 596 [ 0, 4, 5, 15, 0, 0, 0, 0, 45, 0, 10, 19, 1, 45, 1, 0 ] 3 1 131 16
8334 598 [ 0, 4, 5, 4, 0, 0, 0, 0, 45, 0, 10, 19, 1, 45, 1, 0 ] 3 3 131 52
8334 600 [ 0, 4, 5, 8, 0, 0, 0, 0, 45, 0, 10, 19, 1, 45, 1, 0 ] 3 3 131 52
8314 602 [ 0, 4, 5, 16, 0, 0, 0, 0, 45, 0, 10, 19, 1, 45, 1, 0 ] 3 1 131 20
a262 604 [ 0, 4, 5, 20, 0, 0, 0, 0, 45, 0, 10, 19, 1, 45, 1, 0 ] 2 6 162 98
f31e 606 [ 0, 4, 5, 20, 0, 0, 0, 0, 45, 0, 10, 19, 1, 45, 1, 0 ] 3 1 243 30
ee 608 [ 0, 4, 5, 20, 0, 0, 0, 0, 45, 0, 10, 19, 1, 45, 1, 0 ] 0 14 0 238
dab5 582 [ 0, 4, 5, 20, 0, 0, 0, 0, 45, 0, 10, 19, 1, 45, 1, 0 ] 10 11 218 181
7a04 584 [ 0, 4, 5, 20, 0, 0, 0, 0, 45, 0, 10, 19, 1, 45, 1, 0 ] 10 0 122 4
8120 586 [ 0, 4, 5, 20, 0, 0, 0, 0, 45, 0, 14, 19, 1, 45, 1, 0 ] 1 2 129 32
2254 588 [ 0, 5, 5, 20, 0, 0, 0, 0, 45, 0, 14, 19, 1, 45, 1, 0 ] 2 5 34 84
8310 596 [ 0, 5, 5, 20, 0, 0, 0, 0, 45, 0, 14, 19, 1, 45, 1, 0 ] 3 1 131 16
8334 598 [ 0, 5, 5, 5, 0, 0, 0, 0, 45, 0, 14, 19, 1, 45, 1, 0 ] 3 3 131 52
8334 600 [ 0, 5, 5, 10, 0, 0, 0, 0, 45, 0, 14, 19, 1, 45, 1, 0 ] 3 3 131 52
8314 602 [ 0, 5, 5, 20, 0, 0, 0, 0, 45, 0, 14, 19, 1, 45, 1, 0 ] 3 1 131 20
a262 604 [ 0, 5, 5, 25, 0, 0, 0, 0, 45, 0, 14, 19, 1, 45, 1, 0 ] 2 6 162 98
f31e 606 [ 0, 5, 5, 25, 0, 0, 0, 0, 45, 0, 14, 19, 1, 45, 1, 0 ] 3 1 243 30
ee 608 [ 0, 5, 5, 25, 0, 0, 0, 0, 45, 0, 14, 19, 1, 45, 1, 0 ] 0 14 0 238
dab5 590 [ 0, 5, 5, 25, 0, 0, 0, 0, 45, 0, 14, 19, 1, 45, 1, 0 ] 10 11 218 181
7a05 592 [ 0, 5, 5, 25, 0, 0, 0, 0, 45, 0, 14, 19, 1, 45, 1, 0 ] 10 0 122 5
ee 594 [ 0, 5, 5, 25, 0, 0, 0, 0, 45, 0, 19, 19, 1, 45, 1, 0 ] 0 14 0 238
3a40 534 [ 0, 5, 5, 25, 0, 0, 0, 0, 45, 0, 19, 19, 1, 45, 1, 0 ] 10 4 58 64
1220 536 [ 0, 5, 5, 25, 0, 0, 0, 0, 45, 0, 19, 19, 1, 45, 1, 0 ] 2 2 18 32
7d01 544 [ 0, 5, 5, 25, 0, 0, 0, 0, 45, 0, 19, 19, 1, 45, 1, 0 ] 13 0 125 1
3d3f 546 [ 0, 5, 5, 25, 0, 0, 0, 0, 45, 0, 19, 19, 1, 46, 1, 0 ] 13 3 61 63
120a 548 [ 0, 5, 5, 25, 0, 0, 0, 0, 45, 0, 19, 19, 1, 46, 1, 0 ] 2 0 18 10
8cd0 522 [ 0, 5, 5, 25, 0, 0, 0, 0, 45, 0, 19, 19, 1, 46, 1, 0 ] 12 13 140 208
8ce2 524 [ 0, 5, 5, 25, 0, 0, 0, 0, 45, 0, 19, 19, 46, 46, 1, 0 ] 12 14 140 226
4c00 526 [ 0, 5, 5, 25, 0, 0, 0, 0, 45, 0, 19, 19, 0, 46, 1, 0 ] 12 0 76 0
1220 528 [ 0, 5, 5, 25, 0, 0, 0, 0, 45, 0, 19, 19, 0, 46, 1, 0 ] 2 2 18 32
7d01 544 [ 0, 5, 5, 25, 0, 0, 0, 0, 45, 0, 19, 19, 0, 46, 1, 0 ] 13 0 125 1
3d3f 546 [ 0, 5, 5, 25, 0, 0, 0, 0, 45, 0, 19, 19, 0, 47, 1, 0 ] 13 3 61 63
120a 548 [ 0, 5, 5, 25, 0, 0, 0, 0, 45, 0, 19, 19, 0, 47, 1, 0 ] 2 0 18 10
8cd0 522 [ 0, 5, 5, 25, 0, 0, 0, 0, 45, 0, 19, 19, 0, 47, 1, 0 ] 12 13 140 208
8ce2 524 [ 0, 5, 5, 25, 0, 0, 0, 0, 45, 0, 19, 19, 47, 47, 1, 0 ] 12 14 140 226
4c00 526 [ 0, 5, 5, 25, 0, 0, 0, 0, 45, 0, 19, 19, 1, 47, 1, 0 ] 12 0 76 0
88d0 530 [ 0, 5, 5, 25, 0, 0, 0, 0, 45, 0, 19, 19, 1, 47, 1, 0 ] 8 13 136 208
223e 532 [ 0, 5, 5, 25, 0, 0, 0, 0, 47, 0, 19, 19, 1, 47, 1, 0 ] 2 3 34 62
a294 574 [ 0, 5, 5, 25, 0, 0, 0, 0, 47, 0, 19, 19, 1, 47, 1, 0 ] 2 9 162 148
f833 576 [ 0, 5, 5, 25, 0, 0, 0, 0, 47, 0, 19, 19, 1, 47, 1, 0 ] 8 3 248 51
f265 578 [ 0, 5, 5, 25, 0, 0, 0, 0, 47, 0, 19, 19, 1, 47, 1, 0 ] 2 6 242 101
2254 580 [ 0, 4, 7, 25, 0, 0, 0, 0, 47, 0, 19, 19, 1, 47, 1, 0 ] 2 5 34 84
8310 596 [ 0, 4, 7, 25, 0, 0, 0, 0, 47, 0, 19, 19, 1, 47, 1, 0 ] 3 1 131 16
8334 598 [ 0, 4, 7, 4, 0, 0, 0, 0, 47, 0, 19, 19, 1, 47, 1, 0 ] 3 3 131 52
8334 600 [ 0, 4, 7, 8, 0, 0, 0, 0, 47, 0, 19, 19, 1, 47, 1, 0 ] 3 3 131 52
8314 602 [ 0, 4, 7, 16, 0, 0, 0, 0, 47, 0, 19, 19, 1, 47, 1, 0 ] 3 1 131 20
a262 604 [ 0, 4, 7, 20, 0, 0, 0, 0, 47, 0, 19, 19, 1, 47, 1, 0 ] 2 6 162 98
f31e 606 [ 0, 4, 7, 20, 0, 0, 0, 0, 47, 0, 19, 19, 1, 47, 1, 0 ] 3 1 243 30
ee 608 [ 0, 4, 7, 20, 0, 0, 0, 0, 47, 0, 19, 19, 1, 47, 1, 0 ] 0 14 0 238
dab5 582 [ 0, 4, 7, 20, 0, 0, 0, 0, 47, 0, 19, 19, 1, 47, 1, 0 ] 10 11 218 181
7a04 584 [ 0, 4, 7, 20, 0, 0, 0, 0, 47, 0, 19, 19, 1, 47, 1, 0 ] 10 0 122 4
8120 586 [ 0, 4, 7, 20, 0, 0, 0, 0, 47, 0, 23, 19, 1, 47, 1, 0 ] 1 2 129 32
2254 588 [ 0, 7, 7, 20, 0, 0, 0, 0, 47, 0, 23, 19, 1, 47, 1, 0 ] 2 5 34 84
8310 596 [ 0, 7, 7, 20, 0, 0, 0, 0, 47, 0, 23, 19, 1, 47, 1, 0 ] 3 1 131 16
8334 598 [ 0, 7, 7, 7, 0, 0, 0, 0, 47, 0, 23, 19, 1, 47, 1, 0 ] 3 3 131 52
8334 600 [ 0, 7, 7, 14, 0, 0, 0, 0, 47, 0, 23, 19, 1, 47, 1, 0 ] 3 3 131 52
8314 602 [ 0, 7, 7, 28, 0, 0, 0, 0, 47, 0, 23, 19, 1, 47, 1, 0 ] 3 1 131 20
a262 604 [ 0, 7, 7, 35, 0, 0, 0, 0, 47, 0, 23, 19, 1, 47, 1, 0 ] 2 6 162 98
f31e 606 [ 0, 7, 7, 35, 0, 0, 0, 0, 47, 0, 23, 19, 1, 47, 1, 0 ] 3 1 243 30
ee 608 [ 0, 7, 7, 35, 0, 0, 0, 0, 47, 0, 23, 19, 1, 47, 1, 0 ] 0 14 0 238
dab5 590 [ 0, 7, 7, 35, 0, 0, 0, 0, 47, 0, 23, 19, 1, 47, 1, 0 ] 10 11 218 181
7a05 592 [ 0, 7, 7, 35, 0, 0, 0, 0, 47, 0, 23, 19, 1, 47, 1, 0 ] 10 0 122 5
ee 594 [ 0, 7, 7, 35, 0, 0, 0, 0, 47, 0, 28, 19, 1, 47, 1, 0 ] 0 14 0 238
3a40 534 [ 0, 7, 7, 35, 0, 0, 0, 0, 47, 0, 28, 19, 1, 47, 1, 0 ] 10 4 58 64
1220 536 [ 0, 7, 7, 35, 0, 0, 0, 0, 47, 0, 28, 19, 1, 47, 1, 0 ] 2 2 18 32
7d01 544 [ 0, 7, 7, 35, 0, 0, 0, 0, 47, 0, 28, 19, 1, 47, 1, 0 ] 13 0 125 1
3d3f 546 [ 0, 7, 7, 35, 0, 0, 0, 0, 47, 0, 28, 19, 1, 48, 1, 0 ] 13 3 61 63
120a 548 [ 0, 7, 7, 35, 0, 0, 0, 0, 47, 0, 28, 19, 1, 48, 1, 0 ] 2 0 18 10
8cd0 522 [ 0, 7, 7, 35, 0, 0, 0, 0, 47, 0, 28, 19, 1, 48, 1, 0 ] 12 13 140 208
8ce2 524 [ 0, 7, 7, 35, 0, 0, 0, 0, 47, 0, 28, 19, 48, 48, 1, 0 ] 12 14 140 226
4c00 526 [ 0, 7, 7, 35, 0, 0, 0, 0, 47, 0, 28, 19, 0, 48, 1, 0 ] 12 0 76 0
1220 528 [ 0, 7, 7, 35, 0, 0, 0, 0, 47, 0, 28, 19, 0, 48, 1, 0 ] 2 2 18 32
7d01 544 [ 0, 7, 7, 35, 0, 0, 0, 0, 47, 0, 28, 19, 0, 48, 1, 0 ] 13 0 125 1
3d3f 546 [ 0, 7, 7, 35, 0, 0, 0, 0, 47, 0, 28, 19, 0, 49, 1, 0 ] 13 3 61 63
120a 548 [ 0, 7, 7, 35, 0, 0, 0, 0, 47, 0, 28, 19, 0, 49, 1, 0 ] 2 0 18 10
8cd0 522 [ 0, 7, 7, 35, 0, 0, 0, 0, 47, 0, 28, 19, 0, 49, 1, 0 ] 12 13 140 208
8ce2 524 [ 0, 7, 7, 35, 0, 0, 0, 0, 47, 0, 28, 19, 49, 49, 1, 0 ] 12 14 140 226
4c00 526 [ 0, 7, 7, 35, 0, 0, 0, 0, 47, 0, 28, 19, 1, 49, 1, 0 ] 12 0 76 0
88d0 530 [ 0, 7, 7, 35, 0, 0, 0, 0, 47, 0, 28, 19, 1, 49, 1, 0 ] 8 13 136 208
223e 532 [ 0, 7, 7, 35, 0, 0, 0, 0, 49, 0, 28, 19, 1, 49, 1, 0 ] 2 3 34 62
a294 574 [ 0, 7, 7, 35, 0, 0, 0, 0, 49, 0, 28, 19, 1, 49, 1, 0 ] 2 9 162 148
f833 576 [ 0, 7, 7, 35, 0, 0, 0, 0, 49, 0, 28, 19, 1, 49, 1, 0 ] 8 3 248 51
f265 578 [ 0, 7, 7, 35, 0, 0, 0, 0, 49, 0, 28, 19, 1, 49, 1, 0 ] 2 6 242 101
2254 580 [ 0, 4, 9, 35, 0, 0, 0, 0, 49, 0, 28, 19, 1, 49, 1, 0 ] 2 5 34 84
8310 596 [ 0, 4, 9, 35, 0, 0, 0, 0, 49, 0, 28, 19, 1, 49, 1, 0 ] 3 1 131 16
8334 598 [ 0, 4, 9, 4, 0, 0, 0, 0, 49, 0, 28, 19, 1, 49, 1, 0 ] 3 3 131 52
8334 600 [ 0, 4, 9, 8, 0, 0, 0, 0, 49, 0, 28, 19, 1, 49, 1, 0 ] 3 3 131 52
8314 602 [ 0, 4, 9, 16, 0, 0, 0, 0, 49, 0, 28, 19, 1, 49, 1, 0 ] 3 1 131 20
a262 604 [ 0, 4, 9, 20, 0, 0, 0, 0, 49, 0, 28, 19, 1, 49, 1, 0 ] 2 6 162 98
f31e 606 [ 0, 4, 9, 20, 0, 0, 0, 0, 49, 0, 28, 19, 1, 49, 1, 0 ] 3 1 243 30
ee 608 [ 0, 4, 9, 20, 0, 0, 0, 0, 49, 0, 28, 19, 1, 49, 1, 0 ] 0 14 0 238
dab5 582 [ 0, 4, 9, 20, 0, 0, 0, 0, 49, 0, 28, 19, 1, 49, 1, 0 ] 10 11 218 181
7a04 584 [ 0, 4, 9, 20, 0, 0, 0, 0, 49, 0, 28, 19, 1, 49, 1, 0 ] 10 0 122 4
8120 586 [ 0, 4, 9, 20, 0, 0, 0, 0, 49, 0, 32, 19, 1, 49, 1, 0 ] 1 2 129 32
2254 588 [ 0, 9, 9, 20, 0, 0, 0, 0, 49, 0, 32, 19, 1, 49, 1, 0 ] 2 5 34 84
8310 596 [ 0, 9, 9, 20, 0, 0, 0, 0, 49, 0, 32, 19, 1, 49, 1, 0 ] 3 1 131 16
8334 598 [ 0, 9, 9, 9, 0, 0, 0, 0, 49, 0, 32, 19, 1, 49, 1, 0 ] 3 3 131 52
8334 600 [ 0, 9, 9, 18, 0, 0, 0, 0, 49, 0, 32, 19, 1, 49, 1, 0 ] 3 3 131 52
8314 602 [ 0, 9, 9, 36, 0, 0, 0, 0, 49, 0, 32, 19, 1, 49, 1, 0 ] 3 1 131 20
a262 604 [ 0, 9, 9, 45, 0, 0, 0, 0, 49, 0, 32, 19, 1, 49, 1, 0 ] 2 6 162 98
f31e 606 [ 0, 9, 9, 45, 0, 0, 0, 0, 49, 0, 32, 19, 1, 49, 1, 0 ] 3 1 243 30
ee 608 [ 0, 9, 9, 45, 0, 0, 0, 0, 49, 0, 32, 19, 1, 49, 1, 0 ] 0 14 0 238
dab5 590 [ 0, 9, 9, 45, 0, 0, 0, 0, 49, 0, 32, 19, 1, 49, 1, 0 ] 10 11 218 181
7a05 592 [ 0, 9, 9, 45, 0, 0, 0, 0, 49, 0, 32, 19, 1, 49, 1, 0 ] 10 0 122 5
ee 594 [ 0, 9, 9, 45, 0, 0, 0, 0, 49, 0, 37, 19, 1, 49, 1, 0 ] 0 14 0 238
3a40 534 [ 0, 9, 9, 45, 0, 0, 0, 0, 49, 0, 37, 19, 1, 49, 1, 0 ] 10 4 58 64
